City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
178,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.49,93,100,2.71,overcast clouds,2021-11-24 03:02:15
179,Sioux Lookout,CA,50.1001,-91.917,23.29,97,99,3.36,overcast clouds,2021-11-24 03:02:15
180,Pailon,BO,-17.65,-62.75,80.62,69,100,4.25,overcast clouds,2021-11-24 03:02:15
181,Aklavik,CA,68.2191,-135.0107,-15.27,99,100,3.58,overcast clouds,2021-11-24 03:02:16
182,Salinopolis,BR,-0.6136,-47.3561,79.56,85,91,9.64,overcast clouds,2021-11-24 03:01:27
183,Jiwani,PK,25.05,61.7417,76.77,69,29,7.29,scattered clouds,2021-11-24 03:02:16
184,Laramie,US,41.3114,-105.5911,45.86,35,1,3.0,clear sky,2021-11-24 03:01:33
185,Pangnirtung,CA,66.1451,-65.7125,22.68,96,100,6.38,snow,2021-11-24 03:02:17
186,Keetmanshoop,NA,-26.5833,18.1333,64.89,43,94,2.82,overcast clouds,2021-11-24 03:02:17
187,Elko,US,41.0002,-115.5012,35.22,55,7,7.0,clear sky,2021-11-24 03:02:17
188,Kavieng,PG,-2.5744,150.7967,84.94,72,99,15.68,light rain,2021-11-24 03:02:17
189,Oktyabrskoye,RU,43.0645,44.7417,32.14,93,57,6.71,broken clouds,2021-11-24 03:02:18
190,San Quintin,MX,30.4833,-115.95,62.19,84,8,5.44,clear sky,2021-11-24 02:59:05
191,Ios,GR,36.7333,25.2833,62.96,75,99,13.0,overcast clouds,2021-11-24 03:02:18
192,Baykit,RU,61.67,96.37,21.24,96,100,5.17,snow,2021-11-24 03:02:18
193,Boralday,KZ,43.3578,76.8594,28.26,86,9,0.0,mist,2021-11-24 03:02:19
194,Komsomolskiy,UZ,40.4272,71.7189,39.92,52,100,2.3,haze,2021-11-24 03:02:19
195,Chara,RU,56.9064,118.2631,-11.2,87,99,0.98,overcast clouds,2021-11-24 03:02:19
196,Kenai,US,60.5544,-151.2583,15.15,91,79,7.99,broken clouds,2021-11-24 03:02:20
197,Hay River,CA,60.8156,-115.7999,-1.89,92,100,4.94,overcast clouds,2021-11-24 03:02:20
198,Daru,PG,-9.0763,143.2092,87.78,62,13,7.76,few clouds,2021-11-24 03:02:21
199,Fortuna,US,40.5982,-124.1573,52.66,71,90,3.0,overcast clouds,2021-11-24 03:02:21
200,Belle Fourche,US,44.6714,-103.8522,48.43,28,29,6.08,scattered clouds,2021-11-24 03:02:21
201,Pundaguitan,PH,6.3711,126.1689,80.58,84,100,17.16,heavy intensity rain,2021-11-24 03:02:21
202,Houlton,US,46.1262,-67.8403,25.21,72,90,14.97,overcast clouds,2021-11-24 03:02:22
203,Touros,BR,-5.1989,-35.4608,77.9,79,96,10.92,overcast clouds,2021-11-24 02:59:44
204,Klaksvik,FO,62.2266,-6.589,41.92,63,38,30.04,scattered clouds,2021-11-24 02:58:14
205,Jamtara,IN,23.95,86.8,70.52,30,2,6.24,clear sky,2021-11-24 03:02:22
206,Metro,ID,-5.1131,105.3067,79.95,75,100,6.49,light rain,2021-11-24 03:02:22
207,Kayes,ML,14.0,-11.0,79.48,23,89,3.36,overcast clouds,2021-11-24 03:02:23
