City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Pundaguitan,PH,80.58,heavy intensity rain,6.3711,126.1689,
203,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,
205,Jamtara,IN,70.52,clear sky,23.95,86.8,
206,Metro,ID,79.95,light rain,-5.1131,105.3067,
207,Kayes,ML,79.48,overcast clouds,14.0,-11.0,
212,Bathsheba,BB,79.18,overcast clouds,13.2167,-59.5167,
215,Carnarvon,AU,88.7,clear sky,-24.8667,113.6333,
222,Atar,MR,78.06,broken clouds,20.5169,-13.0499,
223,Morant Bay,JM,73.62,scattered clouds,17.8815,-76.4093,
224,Pitimbu,BR,78.8,few clouds,-7.4706,-34.8086,
226,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,
227,Sao Filipe,CV,78.8,overcast clouds,14.8961,-24.4956,
232,Calabozo,VE,81.86,overcast clouds,8.9242,-67.4293,
234,Mayor Pablo Lagerenza,PY,73.65,light rain,-19.9309,-60.7718,
237,San Andres,CO,81.57,overcast clouds,12.5847,-81.7006,
244,Tessalit,ML,72.91,broken clouds,20.1986,1.0114,
245,Alice Springs,AU,72.95,overcast clouds,-23.7,133.8833,
247,Sao Joao Da Barra,BR,71.67,clear sky,-21.6403,-41.0511,
249,Umm Lajj,SA,75.09,clear sky,25.0213,37.2685,
250,Doha,QA,75.18,clear sky,25.2867,51.5333,
252,Ihosy,MG,71.98,overcast clouds,-22.4,46.1167,
253,Moree,AU,82.02,overcast clouds,-29.4667,149.85,
254,Coolum Beach,AU,82.35,light rain,-26.5333,153.1,
255,Puerto Madryn,AR,71.6,few clouds,-42.7692,-65.0385,
257,Boueni,YT,80.58,few clouds,-12.9025,45.0761,
263,Bambous Virieux,MU,79.21,few clouds,-20.3428,57.7575,
264,Sibolga,ID,84.4,overcast clouds,1.7427,98.7792,
266,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,
267,Souillac,MU,79.36,clear sky,-20.5167,57.5167,
270,Cockburn Town,TC,80.65,broken clouds,21.4612,-71.1419,
276,Beira,MZ,77.49,light rain,-19.8436,34.8389,
277,Mbandaka,CD,71.02,light rain,0.0487,18.2603,
280,Bang Saphan,TH,78.01,overcast clouds,11.2126,99.5117,
